model,score,width_x,depth_x,dataset,params
resdepth,0.6967153623814245,1.0,3.0,chexpert,712197
resdepth,0.6960523941280671,1.0,3.0,chexpert,712197
resdepth,0.6939169871083679,1.0,3.0,chexpert,712197
resdepth,0.6969904406914638,1.0,3.0,chexpert,712197
resdepth,0.6921954326244161,1.0,3.0,chexpert,712197
resdepth,0.6928370275828248,1.0,3.0,chexpert,712197
resdepth,0.6713324174728855,0.5,4.0,chexpert,384101
resdepth,0.6789697175652227,0.5,4.0,chexpert,384101
resdepth,0.670490978022104,0.5,4.0,chexpert,384101
resdepth,0.672970147870803,0.5,4.0,chexpert,384101
resdepth,0.6681358795972021,0.5,4.0,chexpert,384101
resdepth,0.6777056100915535,0.5,4.0,chexpert,384101
resdepth,0.6791646958512688,0.5,4.0,chexpert,384101
resdepth,0.6799011704819848,0.5,4.0,chexpert,384101
resdepth,0.6774402971723712,0.5,4.0,chexpert,384101
resdepth,0.6748699376131777,0.5,4.0,chexpert,384101
resdepth,0.6797204017376114,0.5,4.0,chexpert,384101
resdepth,0.6778489387437794,0.5,4.0,chexpert,384101
resdepth,0.6748458844219283,0.5,4.0,chexpert,384101
resdepth,0.6706088130670386,0.5,4.0,chexpert,384101
resdepth,0.6704410669573895,0.5,4.0,chexpert,384101
resdepth,0.6671948700944534,0.5,2.0,chexpert,367493
resdepth,0.6655313878740835,0.5,2.0,chexpert,367493
resdepth,0.6640099693306769,0.5,2.0,chexpert,367493
resdepth,0.6674036761062199,0.5,2.0,chexpert,367493
resdepth,0.6677893221279663,0.5,2.0,chexpert,367493
resdepth,0.6651561140022677,0.5,2.0,chexpert,367493
resdepth,0.6752994894193016,0.5,2.0,chexpert,367493
resdepth,0.6708630836209927,0.5,2.0,chexpert,367493
resdepth,0.6690216984942979,0.5,2.0,chexpert,367493
resdepth,0.6703624348394371,0.5,2.0,chexpert,367493
resdepth,0.6689490527060604,0.5,2.0,chexpert,367493
resdepth,0.6719121471644056,0.5,2.0,chexpert,367493
resdepth,0.6728399437342816,0.5,2.0,chexpert,367493
